"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.774759875E0,-1.455051841E0,3.055349103E0,5.234310508E-2,3.384534503E0
2.784809875E0,-2.481338468E0,2.313300599E0,-1.059945393E0,3.554136251E0
2.794858875E0,-2.888335667E0,2.387435108E0,-1.975919618E0,4.236341306E0
2.804908875E0,-3.037689342E0,2.503977717E0,-3.025283305E0,4.964856496E0
2.814957875E0,-2.948677179E0,2.398775198E0,-4.245534647E0,5.698542269E0
2.825007875E0,-1.914261168E0,2.244390578E0,-5.315627736E0,6.079274884E0
2.835057000E0,-5.800616267E-1,1.572563041E0,-5.583372910E0,5.829535064E0
2.845107000E0,5.025632152E-1,3.581156462E-1,-4.243702129E0,4.288335850E0
2.855156000E0,1.370036834E0,-9.706699580E-1,-1.831746430E0,2.484853331E0
2.865206000E0,2.037780090E0,-2.011627541E0,4.955749154E-1,2.905991665E0
2.875255000E0,2.668664838E0,-2.720106010E0,1.485894442E0,4.090064916E0
2.885305000E0,3.421611967E0,-3.245466058E0,5.703008696E-1,4.750339090E0
2.895354000E0,4.431101005E0,-4.052089457E0,-2.243717271E0,6.410019679E0
2.905404000E0,5.633995764E0,-5.124598616E0,-5.977968750E0,9.681917662E0
2.915453000E0,6.362693905E0,-6.063665543E0,-7.755412381E0,1.172170358E1
2.925503000E0,6.344002111E0,-6.213234980E0,-6.202527559E0,1.083152805E1
2.935553000E0,5.405784785E0,-5.427065141E0,-3.429048164E0,8.392491674E0
2.945602000E0,4.012219632E0,-4.589482489E0,-1.544813325E0,6.288696535E0
2.955652000E0,3.301722704E0,-4.241828681E0,-8.673978969E-1,5.444893249E0
2.965701000E0,3.456261106E0,-4.275762997E0,-1.778604011E0,5.778522498E0
2.975751000E0,4.099455120E0,-4.897097488E0,-3.529994787E0,7.297119931E0
2.985800000E0,4.441606113E0,-5.793806600E0,-4.580172260E0,8.618238667E0
2.995850000E0,4.309757832E0,-6.356292374E0,-4.098809587E0,8.704981639E0
3.005899000E0,4.091041853E0,-6.821832481E0,-2.142718315E0,8.238037608E0
3.015949000E0,3.915080423E0,-7.031576784E0,-4.858381319E-1,8.062689718E0
3.025998000E0,3.609561067E0,-6.579282374E0,-1.944292760E-1,7.506909511E0
