"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.043743958E0,3.342943528E0,5.213175747E0,-2.284320045E0,6.600802289E0
2.053794958E0,2.596756950E0,2.869653229E0,8.042542537E-1,3.952832050E0
2.063845958E0,1.769854968E0,7.666576803E-2,2.986199931E0,3.472125325E0
2.073895958E0,1.522816831E0,-3.826913767E0,-9.846875612E-1,4.234837621E0
2.083946958E0,8.349223150E-1,-2.043125206E1,-6.811603947E0,2.155298365E1
2.093997958E0,1.135447419E0,-3.527872423E1,-1.031938955E1,3.677454860E1
2.104048958E0,4.410766144E0,-4.280551048E1,-1.286108181E1,4.491296039E1
2.114099958E0,9.400581468E0,-4.636647417E1,-9.603160594E0,4.827464710E1
2.124149958E0,1.089418605E1,-4.299123676E1,-2.040273635E0,4.439698689E1
2.134200958E0,7.861863865E0,-3.592656298E1,6.029511956E0,3.726770513E1
2.144251958E0,3.273036557E0,-2.736855711E1,1.256007650E1,3.029036494E1
2.154302958E0,9.781263274E-1,-1.761621767E1,1.140771659E1,2.101008934E1
2.164352958E0,-8.403632954E-1,-1.024237353E1,6.396294930E0,1.210475175E1
2.174403958E0,-2.270298714E0,-4.714385448E0,2.042646728E0,5.617124892E0
2.184454958E0,-3.148806028E0,1.259841084E-2,1.558000551E0,3.513189980E0
2.194505958E0,-4.615423077E0,2.445135432E0,2.758862525E0,5.906956906E0
2.204556958E0,-4.871145498E0,4.188293914E0,6.819115865E0,9.368575428E0
2.214606958E0,-4.265395884E0,6.219882095E0,9.018650113E0,1.175655499E1
2.224657958E0,-4.306751486E0,7.920017933E0,8.929067261E0,1.268869712E1
2.234708958E0,-6.381083983E0,1.034561080E1,5.737562817E0,1.344133634E1
2.244759958E0,-9.712323432E0,1.298348742E1,4.759400237E0,1.689828579E1
2.254810958E0,-1.224113077E1,1.651149152E1,6.729173993E0,2.162767711E1
2.264860958E0,-1.299789496E1,2.136441388E1,1.030431543E1,2.704740967E1
2.274911958E0,-1.232952780E1,2.450864885E1,1.135983024E1,2.969405441E1
2.284962958E0,-1.206177093E1,2.443065401E1,8.045569932E0,2.840905434E1
